pop_diff,pop_urban_diff,proteins,calories,animal_proteins_prop,GDP,pays
2.92,7.75,61.82,2423,28.23,4152.372473,Eswatini
8.32,15.07,66.33,2337,9.89,734.362795,?thiopie
1.71,5.1,71.04,2775,40.02,6267.011232,Fidji
0.76,1.29,117.98,3340,63.93,49966.999925,Finlande
0.83,2.21,108.16,3501,59.58,41491.611058,France
1.67,3.19,95.92,2908,66.31,22238.267569,Polyn?sie fran?aise
8.81,8.64,78.95,2634,47.35,8018.81644,Gabon
9.31,13.19,65.47,2531,25.65,734.580087,Gambie
-0.53,0.91,76.77,2838,40.71,4396.66682,G?orgie
1.63,0.86,105.14999999999999,3554,60.89,47684.755233,Allemagne
6.89,10.72,61.56,3029,24.95,2201.584397,Ghana
-1.29,0.61,108.06,3381,55.58,20171.526749,Gr?ce
1.69,2.19,71.29,2401,56.68,10485.906044,Grenade
6.12,8.41,68.92,2550,31.53,4239.281796,Guatemala
8.59,11.01,57.37,2743,19.82,878.601385,Guin?e
7.89,10.89,43.23,2229,21.3,737.582751,Guin?e-Bissau
1.51,2.42,86.14,2912,41.24,6145.828152,Guyana
4,9.39,49.58,2120,21.34,834.947176,Ha?ti
5.21,8.77,62.85,2670,34.92,2505.773786,Honduras
-0.72,0.22,89.48,3317,57.25,16525.248764,Hongrie
1.96,2.41,146.48,3656,71.67,76437.780317,Islande
3.24,7.39,63.35,2530,23.69,2050.549716,Inde
3.59,7.24,67.32000000000001,2882,32.35,3893.743031,Indon?sie
4.21,5.51,85.69,3084,28.85,5647.179072,Iran (R?publique islamique d')
8.04,9.79,65.53999999999999,2606,22.25,5606.799306,Iraq
3.57,3.24,117.45,3885,61.3,80137.062604,Irlande
5.05,5.09,126.82000000000001,3527,58.89,44214.910351,Isra?l
0.08,0.89,106.47,3500,53.48,34498.406915,Italie
1.52,2.48,75.97,2785,48.64,5360.003954,Jama?que
-0.61,-0.36,87.3,2707,55.57,38952.210981,Japon
7.54,8.99,69.14,2729,33.54,4308.18107,Jordanie
4.25,4.12,91.48,3065,59.81,9789.504209,Kazakhstan
7.34,13.63,61.71,2191,24.18,1708.002041,Kenya
4.43,10.32,73.53,3078,49.01,1698.242583,Kiribati
7.87,6.64,103.15,3471,49.4,33999.242958,Kowe?t
5.79,6.24,84.39,2728,40.18,1312.034714,Kirghizistan
4.75,10.44,76.92,2756,23.62,2569.092464,R?publique d?mocratique populaire lao
-3.46,-2.92,102.73,3229,61.41,17846.380379,Lettonie
5,4.71,69.05,2851,32.54,8012.539237,Liban
2.39,8.88,66.51,2321,28.96,1221.123238,Lesotho
7.75,10.75,42.8,2164,27.29,569.614477,Lib?ria
-4.46,-1.24,126.50999999999999,3410,62.33,19178.086425,Lituanie
6.62,5.09,108.3,3470,62.29,117369.540527,Luxembourg
8.37,14.52,44.13,1934,21.21,523.945979,Madagascar
8.35,13.23,67.05,2392,13.9,395.763936,Malawi
4.15,6.86,77.43,2843,55.78,11377.568227,Malaisie
13.36,9.7,81.2,2235,60.44,10279.207475,Maldives
9.4,15.86,83.52,2873,26.89,894.805125,Mali
1.31,1.26,116.34,3419,56.78,33345.951704,Malte
8.82,14.04,81.98,2871,36.14,1600.87865,Mauritanie
0.61,0.2,88.77,3046,46.42,11191.564625,Maurice
3.56,5.01,91.44,3157,48.97,9673.422736,Mexique
5.73,5.2,87.28999999999999,2575,65.13,4134.97684,Mongolie
0.14,1.7,114.31,3499,61.46,8771.63114,Mont?n?gro
3.94,6.8,101,3410,27.5,3277.800997,Maroc
9.07,14.02,42.42,2097,19.14,503.302094,Mozambique
1.95,5.25,90.65,2671,45.65,1370.685748,Myanmar
5.76,13.81,65.64,2464,35.09,5495.308372,Namibie
4,9.96,74.14,2769,19.14,995.096981,N?pal
0.71,2.34,106.47,3297,65.57,53579.543563,Pays-Bas
3.29,5.94,84.4,2828,57.71,36334.842513,Nouvelle-Cal?donie
2.79,3.16,93.84,3192,54.99,43836.152525,Nouvelle-Z?lande
3.89,4.45,63.410000000000004,2582,31.04,2020.550002,Nicaragua
12.2,13.37,82.56,2569,14.12,571.273752,Niger
8.14,13.77,58.6,2569,12.51,2153.526494,Nig?ria
0.17,1.25,84.37,3069,43.34,6062.944545,Mac?doine du Nord
2.66,4.42,113.23,3366,59.96,81335.651215,Norv?ge
13.17,19.51,85.25,2938,49.34,16521.216491,Oman
6.42,7.92,66.97,2484,39.56,1338.976141,Pakistan
5.25,6.46,80.29,2849,53.22,15544.723394,Panama
6.15,7.57,64.41,2283,54.99,2813.728172,Papouasie-Nouvelle-Guin?e
4,5.31,69.23,2768,40.55,5805.679834,Paraguay
4.98,4.48,77.74,2774,38.28,6941.229281,P?rou
4.44,6.13,62.489999999999995,2657,42.09,3102.726959,Philippines
-0.3,-0.78,105.41000000000001,3536,54.96,15490.094258,Pologne
-1.08,1.42,116.88,3479,63.63,23626.029325,Portugal
0.69,0.91,100.13,3417,49.11,33705.256943,R?publique de Cor?e
-0.46,-0.29,61.589999999999996,2385,49.13,2827.641046,R?publique de Moldova
-2.1,-1.29,109.16,3578,49.07,12387.189567,Roumanie
0.52,0.57,101.41,3342,54.83,11448.638196,F?d?ration de Russie
8.21,8.8,59.12,2186,14.09,783.336747,Rwanda
2.42,2.7,77.06,2579,64.22,19275.418513,Saint-Kitts-et-Nevis
1.54,2.28,85.9,2619,62.33,11357.883512,Sainte-Lucie
0.97,3.12,89.85,2967,56.14,7361.334168,Saint-Vincent-et-les Grenadines
1.35,-1.59,87.83,3028,59.27,4249.999227,Samoa
5.81,10.78,54.48,2447,30.45,1968.249856,Sao Tom?-et-Principe
6.26,7.18,86.9,3307,37.68,23337.018242,Arabie saoudite
8.75,11.95,62.21,2548,22.01,1465.594536,S?n?gal
-0.83,-0.31,84.28999999999999,2824,49.89,7214.957742,Serbie
6.67,9.87,51,2368,22.47,533.99146,Sierra Leone
0.32,-0.11,70.97,2870,52.71,19384.129761,Slovaquie
0.32,1.73,96.31,3194,53.17,26066.354596,Slov?nie
8.25,12.68,53.129999999999995,2412,28.93,2000.523017,?les Salomon
4.34,6.26,84.37,2895,42.72,6369.231608,Afrique du Sud
0.04,0.9,107.29,3324,62.19,30457.631012,Espagne
1.53,2.36,65.16,2737,27.21,4165.382135,Sri Lanka
7.45,9.78,72.94,2576,27.61,1156.977945,Soudan
3.01,2.73,60.660000000000004,2694,40.72,6015.023747,Suriname
2.12,3.28,105.52,3182,64,55703.523482,Su?de
2.76,2.81,95.3,3355,62.8,86315.12806,Suisse
7.65,8.1,54.230000000000004,2107,23.07,853.218444,Tadjikistan
1.04,5.53,63.28,2801,42.78,7273.56485,Tha?lande
5.99,10.63,57.99,2286,29.37,1230.226288,Timor-Leste
7.73,12.04,58.43,2441,14.99,904.10578,Togo
1.42,0.66,85.59,2984,51.79,17038.054363,Trinit?-et-Tobago
3.45,4.77,99.67,3452,28.7,3438.848968,Tunisie
4.85,6.83,110.69,3708,35.69,9453.254849,Turquie
5.13,7.81,88.57000000000001,2832,40.4,6964.613045,Turkm?nistan
11.78,18.85,46.91,1981,26.07,694.796847,Ouganda
-1.5,-1.04,86.42,3102,44.27,2958.491927,Ukraine
3.97,5.26,110.12,3312,45.81,43839.356349,?mirats arabes unis
1.95,2.75,103.82000000000001,3343,55.83,42556.521592,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
9.38,17.16,58.94,2370,20.6,1041.035526,R?publique-Unie de Tanzanie
1.94,2.87,113.58,3777,64.69,63014.663283,?tats-Unis d'Am?rique
1.09,1.41,86.36,3198,53.53,17278.063669,Uruguay
5,3.92,93.25999999999999,3011,38.33,1551.676137,Ouzb?kistan
7.95,7.95,63.95,2605,42.71,3125.257043,Vanuatu
-3.97,4,54.17,2120,45.36,7061.613962,Venezuela (R?publique bolivarienne du)
3.1,9.56,98.57,3023,40.24,2566.447346,Viet Nam
7.55,13.19,54.5,2152,19.01,803.648363,Y?men
9.27,13.58,60.5,2000,22.63,1556.338275,Zambie
4.52,6.62,44.13,1904,26.24,1683.765768,Zimbabwe
